,neighborhood,building_class_at_time_of_sale,block,lot,residential_units,tax_class_at_time_of_sale,year_built,sale_price,sale_date,building_class_1,building_class_2
2,AIRPORT LA GUARDIA,A5,949.0,30.0,1,1.0,1945-01-01,935000.0,2021-12-08,A,5
3,AIRPORT LA GUARDIA,A5,976.0,12.0,1,1.0,1950-01-01,800000.0,2021-01-11,A,5
5,AIRPORT LA GUARDIA,A5,976.0,26.0,1,1.0,1950-01-01,815000.0,2021-06-25,A,5
6,AIRPORT LA GUARDIA,A5,976.0,62.0,1,1.0,1950-01-01,950000.0,2021-08-17,A,5
11,ARVERNE,A2,15830.0,43.0,1,1.0,1920-01-01,397000.0,2021-07-09,A,2
12,ARVERNE,A6,15834.0,49.0,1,1.0,1920-01-01,270000.0,2021-12-29,A,6
13,ARVERNE,A2,15835.0,33.0,1,1.0,1920-01-01,470000.0,2021-11-22,A,2
14,ARVERNE,A2,15835.0,59.0,1,1.0,1920-01-01,735000.0,2021-04-30,A,2
16,ARVERNE,A2,15839.0,43.0,1,1.0,1920-01-01,431325.0,2021-05-21,A,2
17,ARVERNE,A6,15849.0,16.0,1,1.0,1920-01-01,570000.0,2021-06-21,A,6
20,ARVERNE,A2,15915.0,47.0,1,1.0,1925-01-01,205000.0,2021-06-03,A,2
21,ARVERNE,A9,15952.0,55.0,1,1.0,1910-01-01,280000.0,2021-07-20,A,9
22,ARVERNE,A5,15952.0,60.0,1,1.0,2003-01-01,499000.0,2021-10-04,A,5
24,ARVERNE,A1,15962.0,6.0,1,1.0,2004-01-01,383000.0,2021-07-06,A,1
26,ARVERNE,A6,15966.0,7.0,1,1.0,1899-01-01,180000.0,2021-02-18,A,6
28,ARVERNE,A6,15968.0,24.0,1,1.0,1920-01-01,456000.0,2021-07-14,A,6
29,ARVERNE,A6,15968.0,29.0,1,1.0,1920-01-01,420000.0,2021-09-24,A,6
31,ARVERNE,A2,15968.0,78.0,1,1.0,1920-01-01,375000.0,2021-09-20,A,2
32,ARVERNE,A1,15969.0,51.0,1,1.0,2004-01-01,387462.0,2021-12-07,A,1
33,ARVERNE,A1,15969.0,124.0,1,1.0,2005-01-01,490000.0,2021-05-28,A,1
34,ARVERNE,A2,16026.0,52.0,1,1.0,1960-01-01,448000.0,2021-02-24,A,2
35,ARVERNE,A9,16031.0,20.0,1,1.0,1960-01-01,470000.0,2021-07-07,A,9
36,ARVERNE,A2,16033.0,45.0,1,1.0,1965-01-01,505000.0,2021-02-04,A,2
37,ARVERNE,A9,16034.0,18.0,1,1.0,1950-01-01,505000.0,2021-07-14,A,9
38,ARVERNE,A9,16034.0,40.0,1,1.0,1950-01-01,441000.0,2021-03-04,A,9
39,ARVERNE,A1,16035.0,30.0,1,1.0,1931-01-01,335000.0,2021-03-04,A,1
40,ARVERNE,A1,16035.0,30.0,1,1.0,1931-01-01,505000.0,2021-09-22,A,1
41,ARVERNE,A9,16038.0,54.0,1,1.0,1960-01-01,499550.0,2021-04-23,A,9
43,ARVERNE,A6,16045.0,27.0,1,1.0,1930-01-01,320000.0,2021-03-02,A,6
44,ARVERNE,A1,16047.0,41.0,1,1.0,1920-01-01,540000.0,2021-06-29,A,1
49,ARVERNE,A6,16064.0,43.0,1,1.0,1930-01-01,380000.0,2021-03-24,A,6
50,ARVERNE,A2,16066.0,52.0,1,1.0,1930-01-01,230000.0,2021-03-09,A,2
186,ARVERNE,R3,15933.0,1012.0,1,1.0,2007-01-01,554000.0,2021-12-23,R,3
187,ARVERNE,R3,15933.0,1025.0,1,1.0,2007-01-01,340000.0,2021-06-03,R,3
188,ARVERNE,R3,15933.0,1026.0,1,1.0,2007-01-01,510000.0,2021-05-13,R,3
234,ASTORIA,A1,534.0,41.0,1,1.0,1920-01-01,999000.0,2021-10-20,A,1
236,ASTORIA,A5,565.0,50.0,1,1.0,1945-01-01,843000.0,2021-02-18,A,5
237,ASTORIA,A5,565.0,51.0,1,1.0,1945-01-01,874888.0,2021-09-22,A,5
244,ASTORIA,A1,630.0,27.0,1,1.0,1940-01-01,999000.0,2021-11-17,A,1
248,ASTORIA,A1,655.0,52.0,1,1.0,1910-01-01,860000.0,2021-02-10,A,1
250,ASTORIA,A5,659.0,34.0,1,1.0,1940-01-01,1250000.0,2021-08-25,A,5
252,ASTORIA,A5,659.0,132.0,1,1.0,1940-01-01,1050000.0,2021-11-30,A,5
255,ASTORIA,A5,690.0,154.0,1,1.0,1940-01-01,950000.0,2021-08-03,A,5
257,ASTORIA,A1,693.0,32.0,1,1.0,1920-01-01,925000.0,2021-02-25,A,1
259,ASTORIA,A5,702.0,119.0,1,1.0,1930-01-01,1055000.0,2021-05-21,A,5
260,ASTORIA,A5,708.0,65.0,1,1.0,1940-01-01,1100000.0,2021-05-25,A,5
263,ASTORIA,A9,715.0,52.0,1,1.0,1951-01-01,710000.0,2021-02-19,A,9
264,ASTORIA,A5,720.0,121.0,1,1.0,1940-01-01,987000.0,2021-01-19,A,5
265,ASTORIA,A5,721.0,6.0,1,1.0,1915-01-01,950000.0,2021-04-05,A,5
266,ASTORIA,A1,725.0,14.0,1,1.0,1920-01-01,815000.0,2021-10-15,A,1
267,ASTORIA,A2,727.0,45.0,1,1.0,1940-01-01,900000.0,2021-08-09,A,2
268,ASTORIA,A5,728.0,60.0,1,1.0,1901-01-01,800000.0,2021-01-27,A,5
270,ASTORIA,A5,739.0,84.0,1,1.0,1945-01-01,1180000.0,2021-04-28,A,5
272,ASTORIA,A2,742.0,43.0,1,1.0,1940-01-01,875000.0,2021-07-23,A,2
273,ASTORIA,A5,752.0,69.0,1,1.0,1945-01-01,1100000.0,2021-10-06,A,5
274,ASTORIA,A5,759.0,102.0,1,1.0,1965-01-01,1035000.0,2021-08-12,A,5
276,ASTORIA,A5,761.0,52.0,1,1.0,1989-01-01,999999.0,2021-03-09,A,5
277,ASTORIA,A2,761.0,60.0,1,1.0,1935-01-01,850000.0,2021-04-06,A,2
278,ASTORIA,A2,761.0,64.0,1,1.0,1930-01-01,575000.0,2021-05-24,A,2
279,ASTORIA,A2,762.0,45.0,1,1.0,1925-01-01,800000.0,2021-12-20,A,2
280,ASTORIA,A5,763.0,11.0,1,1.0,1950-01-01,1199000.0,2021-10-05,A,5
281,ASTORIA,A5,763.0,108.0,1,1.0,1950-01-01,710000.0,2021-03-05,A,5
282,ASTORIA,A5,770.0,26.0,1,1.0,1935-01-01,920000.0,2021-01-12,A,5
283,ASTORIA,A5,772.0,14.0,1,1.0,1940-01-01,840000.0,2021-07-06,A,5
284,ASTORIA,A5,772.0,25.0,1,1.0,1945-01-01,10.0,2021-07-28,A,5
285,ASTORIA,A5,772.0,71.0,1,1.0,1940-01-01,1299999.0,2021-09-01,A,5
286,ASTORIA,A1,773.0,45.0,1,1.0,1925-01-01,1370000.0,2021-05-03,A,1
287,ASTORIA,A5,784.0,43.0,1,1.0,1920-01-01,905000.0,2021-01-22,A,5
289,ASTORIA,A1,785.0,3.0,1,1.0,1920-01-01,1350000.0,2021-06-17,A,1
290,ASTORIA,A5,786.0,33.0,1,1.0,1940-01-01,900000.0,2021-12-29,A,5
291,ASTORIA,A5,787.0,18.0,1,1.0,1910-01-01,1345000.0,2021-06-17,A,5
296,ASTORIA,A5,793.0,80.0,1,1.0,1890-01-01,580000.0,2021-03-24,A,5
299,ASTORIA,A5,797.0,37.0,1,1.0,1920-01-01,1430000.0,2021-10-15,A,5
300,ASTORIA,A5,797.0,62.0,1,1.0,1930-01-01,990000.0,2021-12-16,A,5
301,ASTORIA,A1,799.0,64.0,1,1.0,1920-01-01,10.0,2021-03-08,A,1
304,ASTORIA,A5,808.0,51.0,1,1.0,1930-01-01,945000.0,2021-12-23,A,5
305,ASTORIA,A5,808.0,60.0,1,1.0,1930-01-01,1300000.0,2021-04-12,A,5
306,ASTORIA,A5,808.0,143.0,1,1.0,1930-01-01,955000.0,2021-07-27,A,5
308,ASTORIA,A5,820.0,15.0,1,1.0,1930-01-01,1365369.0,2021-09-09,A,5
309,ASTORIA,A5,822.0,144.0,1,1.0,1940-01-01,800000.0,2021-12-30,A,5
310,ASTORIA,A5,828.0,30.0,1,1.0,1935-01-01,970000.0,2021-06-29,A,5
313,ASTORIA,A5,848.0,23.0,1,1.0,1940-01-01,1400000.0,2021-06-17,A,5
314,ASTORIA,A5,849.0,20.0,1,1.0,1942-01-01,988000.0,2021-11-19,A,5
318,ASTORIA,A5,859.0,37.0,1,1.0,1945-01-01,10.0,2021-05-25,A,5
319,ASTORIA,A5,859.0,39.0,1,1.0,1945-01-01,440000.0,2021-12-20,A,5
321,ASTORIA,A5,859.0,56.0,1,1.0,1945-01-01,812500.0,2021-01-20,A,5
322,ASTORIA,A5,859.0,59.0,1,1.0,1945-01-01,810000.0,2021-03-05,A,5
323,ASTORIA,A5,859.0,76.0,1,1.0,1945-01-01,10.0,2021-09-26,A,5
324,ASTORIA,A5,859.0,82.0,1,1.0,1945-01-01,960000.0,2021-09-15,A,5
327,ASTORIA,A5,860.0,133.0,1,1.0,1930-01-01,889000.0,2021-06-14,A,5
328,ASTORIA,A5,865.0,27.0,1,1.0,1920-01-01,1575000.0,2021-08-10,A,5
330,ASTORIA,A5,875.0,35.0,1,1.0,1930-01-01,1315000.0,2021-03-09,A,5
332,ASTORIA,A5,875.0,52.0,1,1.0,1930-01-01,1400000.0,2021-07-29,A,5
333,ASTORIA,A5,876.0,70.0,1,1.0,1930-01-01,1325000.0,2021-04-13,A,5
335,ASTORIA,A5,878.0,8.0,1,1.0,1920-01-01,400000.0,2021-12-20,A,5
339,ASTORIA,A1,886.0,37.0,1,1.0,1920-01-01,845000.0,2021-07-12,A,1
340,ASTORIA,A2,887.0,16.0,1,1.0,1901-01-01,550000.0,2021-04-20,A,2
341,ASTORIA,A5,890.0,52.0,1,1.0,1920-01-01,1199000.0,2021-09-30,A,5
342,ASTORIA,A5,890.0,155.0,1,1.0,1920-01-01,1499999.0,2021-06-25,A,5
343,ASTORIA,A5,890.0,254.0,1,1.0,1935-01-01,1259500.0,2021-12-16,A,5
344,ASTORIA,A5,891.0,130.0,1,1.0,1950-01-01,661863.0,2021-12-06,A,5
345,ASTORIA,A5,896.0,33.0,1,1.0,1965-01-01,1500000.0,2021-09-10,A,5
348,ASTORIA,A5,1023.0,21.0,1,1.0,1940-01-01,725000.0,2021-03-01,A,5
809,ASTORIA,R6,532.0,1001.0,1,1.0,1950-01-01,1080000.0,2021-06-29,R,6
1077,ASTORIA,R2,518.0,1004.0,1,2.0,2004-01-01,475000.0,2021-04-19,R,2
1078,ASTORIA,R2,518.0,1009.0,1,2.0,2004-01-01,950000.0,2021-01-08,R,2
1079,ASTORIA,R4,503.0,1101.0,1,2.0,2007-01-01,1050000.0,2021-04-30,R,4
1080,ASTORIA,R4,503.0,1138.0,1,2.0,2007-01-01,740000.0,2021-10-14,R,4
1081,ASTORIA,R4,503.0,1152.0,1,2.0,2007-01-01,700000.0,2021-07-19,R,4
1082,ASTORIA,R4,503.0,1157.0,1,2.0,2007-01-01,750000.0,2021-09-22,R,4
1083,ASTORIA,R4,503.0,1169.0,1,2.0,2007-01-01,1440000.0,2021-12-28,R,4
1084,ASTORIA,R4,504.0,1026.0,1,2.0,2006-01-01,560000.0,2021-08-26,R,4
1085,ASTORIA,R4,504.0,1039.0,1,2.0,2006-01-01,780000.0,2021-09-02,R,4
1086,ASTORIA,R4,504.0,1058.0,1,2.0,2006-01-01,815000.0,2021-09-02,R,4
1087,ASTORIA,R4,531.0,1007.0,1,2.0,2007-01-01,570000.0,2021-07-08,R,4
1088,ASTORIA,R4,534.0,1007.0,1,2.0,2007-01-01,900000.0,2021-12-15,R,4
1089,ASTORIA,R4,534.0,1026.0,1,2.0,2007-01-01,900000.0,2021-05-05,R,4
1090,ASTORIA,R4,534.0,1030.0,1,2.0,2007-01-01,845000.0,2021-02-04,R,4
1091,ASTORIA,R4,534.0,1101.0,1,2.0,2019-01-01,514216.0,2021-02-24,R,4
1092,ASTORIA,R4,534.0,1102.0,1,2.0,2019-01-01,527871.0,2021-02-17,R,4
1093,ASTORIA,R4,534.0,1103.0,1,2.0,2019-01-01,592622.0,2021-05-20,R,4
1094,ASTORIA,R4,534.0,1104.0,1,2.0,2019-01-01,544764.0,2021-04-27,R,4
1095,ASTORIA,R4,534.0,1105.0,1,2.0,2019-01-01,558510.0,2021-04-19,R,4
1096,ASTORIA,R4,534.0,1106.0,1,2.0,2019-01-01,560038.0,2021-01-29,R,4
1097,ASTORIA,R4,534.0,1107.0,1,2.0,2019-01-01,585983.0,2021-01-13,R,4
1098,ASTORIA,R4,534.0,1109.0,1,2.0,2019-01-01,599635.0,2021-05-04,R,4
1099,ASTORIA,R4,534.0,1110.0,1,2.0,2019-01-01,722958.0,2021-07-28,R,4
1100,ASTORIA,R4,534.0,1111.0,1,2.0,2019-01-01,802381.0,2021-07-27,R,4
1101,ASTORIA,R4,534.0,1112.0,1,2.0,2019-01-01,628835.0,2021-07-19,R,4
